gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,1136,256,2048,ck,7,0,9.4191,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,126.46,364.41,0.0
gfx950,256,1514,256,2048,ck,7,0,9.4355,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,168.25,466.34,0.0
gfx950,256,2017,256,2048,ck,7,0,9.5431,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,221.62,596.01,0.0
gfx950,256,2048,256,2048,ck,7,0,10.4453,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,205.59,552.13,0.0
gfx950,256,2151,256,2048,ck,18,0,11.4318,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,197.3,527.55,0.0
gfx950,256,2332,256,2048,ck,18,0,11.4671,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,213.24,566.33,0.0
gfx950,256,2341,256,2048,ck,18,0,11.1554,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,220.05,584.22,0.0
gfx950,256,3072,256,2048,ck,18,0,9.652,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,333.74,869.11,0.0
gfx950,256,3073,256,2048,ck,18,0,11.4985,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,280.23,729.76,0.0
gfx950,256,3089,256,2048,ck,18,0,11.212,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,288.89,752.06,0.0
