dtype,m,n,k,ck_preshuffle,ck us,ck TFLOPS,ck TB/s,ck err,asm us,asm TFLOPS,asm TB/s,asm err,asm/ck
torch.bfloat16,1,1024,2048,False,7.812808080808084,0.5368497416829137,0.2686870045043879,0,8.38107368421053,0.5004494839249334,0.2504691020620394,0.0,1.0727351289734575
torch.bfloat16,1,12288,2048,False,8.745000000000005,5.755477186963977,2.877972784448255,0,19.169193548387103,2.625652867083441,1.3129332716303876,0.0,2.1920175584204795
torch.bfloat16,1,2048,4096,False,13.158295918367344,1.2750295406095171,0.6378260568136965,0,10.206577319587623,1.6437651403279478,0.8222838800126868,0.0,0.7756762260788277
torch.bfloat16,1,2048,512,False,3.610448979591835,0.5808562901329477,0.2905699556841821,0,7.298118279569877,0.2873551674094816,0.14374773877490915,0.0,2.02138801041718
torch.bfloat16,1,9216,2048,False,8.538619047619056,4.4209415819442155,2.2107106424034195,0,18.362350000000006,2.0557682431714888,1.0279956541510207,0.0,2.1505058250748688
torch.bfloat16,1024,1024,2048,False,10.32724489795918,415.8870384538621,0.4061396859900997,0,21.4676195652174,200.06723535192782,0.195378159523367,0.0,2.078736369412497
torch.bfloat16,1024,12288,2048,False,50.72943000000002,1015.9705628862769,0.5374193244434244,0,86.02163917525783,599.1470058713342,0.3169316030406635,0.0,1.695694967896501
torch.bfloat16,1024,2048,4096,False,25.73169999999998,667.6538737821447,0.48900430208653184,0,33.691653846153805,509.9146887371108,0.37347267241487603,0.0,1.3093442658725942
torch.bfloat16,1024,2048,512,False,7.677070000000001,279.7269854254292,0.20487816315339052,0,20.453177777777768,104.99510987154405,0.07690071523794731,0.0,2.6641906062830953
torch.bfloat16,1024,9216,2048,False,46.20170930232553,836.6509864615407,0.4539122105368602,0,77.72424742268036,497.331359849492,0.2698195311683442,0.0004321204323787242,1.682280776974807
torch.bfloat16,1025,1024,2048,False,14.778064516129028,290.915065048459,0.28395815943420943,0,21.826770833333313,196.9673678634324,0.19225711544977755,0.0,1.4769708718967365
torch.bfloat16,1025,12288,2048,False,59.329109999999986,869.5552520508063,0.4595555874679395,0,94.55621000000006,545.6007511299359,0.2883472592651501,0.0,1.5937574320599126
torch.bfloat16,1025,2048,4096,False,32.088011494252875,535.921224133194,0.39226512999268887,0,44.79547619047621,383.8924789386682,0.28098837361340684,0.0,1.3960190770468686
torch.bfloat16,1025,2048,512,False,8.71825252525253,246.56097007671113,0.1804691932749936,0,21.550709677419377,99.74524422517324,0.0730080829611179,0.0,2.471907026665891
torch.bfloat16,1025,9216,2048,False,47.34949462365593,817.1672096510434,0.4429523095590032,0,77.60446808510635,498.58539533532036,0.27026237686467947,0.0,1.6389714125129216
torch.bfloat16,1027,1024,2048,False,14.78639772727273,291.31843248440094,0.28407513969764897,0,22.3020918367347,193.1455685652256,0.1883432294490541,0.0,1.5082843196892823
torch.bfloat16,1027,12288,2048,False,59.28871,871.8456261908887,0.45993781952752893,0,93.44928723404253,553.1406822455644,0.29180661305318295,0.00210495013743639,1.5761733934511735
torch.bfloat16,1027,2048,4096,False,43.048169999999985,400.25396740442176,0.29258386593437086,0,47.29678350515461,364.29963213295844,0.2663014071269206,0.0,1.09869440455087
torch.bfloat16,1027,2048,512,False,8.578655555555557,251.06207960584342,0.1835252610160359,0,21.74667676767679,99.03927515036538,0.07239726864106943,0.0,2.5349749301443385
torch.bfloat16,1027,9216,2048,False,46.28432989690719,837.6042595485551,0.4532346918865464,0,78.0501666666667,496.7055616622641,0.2687715465053458,0.0,1.686319470121186
torch.bfloat16,1031,1024,2048,False,14.805788888888888,292.0700447947913,0.2842563832014655,0,21.744520408163254,198.86975398071212,0.1935494515859732,0.0,1.4686499025041204
torch.bfloat16,1031,12288,2048,False,58.77281818181821,882.9239552112057,0.4641144128160666,0,93.57492857142853,554.5494918373284,0.291502354492084,0.0,1.5921463606177149
torch.bfloat16,1031,2048,4096,False,31.98888311688311,540.7287785821699,0.39424896311380914,0,45.92672222222221,376.6284389359379,0.2746023097180171,0.0,1.4357088384240269
torch.bfloat16,1031,2048,512,False,8.613069999999993,251.03287352825436,0.1830297443304189,0,21.687494845360867,99.69633318264532,0.07268926223340245,0.0,2.517974989795843
torch.bfloat16,1031,9216,2048,False,46.413525252525226,838.5259814730952,0.4521495810934599,0,77.51680434782617,502.07109469279123,0.27072653699492344,0.0,1.670133951818467
torch.bfloat16,1039,1024,2048,False,14.809554347826088,294.2615121055077,0.285290421356953,0,21.619632653061217,201.57057827635887,0.1954253371368806,0.0,1.4598435675571013
torch.bfloat16,1039,12288,2048,False,59.03142424242426,885.8770213173567,0.46235875807287014,0,93.4600202020202,559.5395994882272,0.29203605927970927,0.0,1.5832248908345508
torch.bfloat16,1039,2048,4096,False,34.38568041237112,506.94147141926453,0.3677214424249367,0,46.382000000000005,375.8252646285197,0.27261334138243276,0.0,1.3488754459345496
torch.bfloat16,1039,2048,512,False,8.634393617021287,252.35598753623836,0.18305211345521907,0,21.799284210526327,99.95470066617344,0.07250439898557746,0.0,2.52470354925129
torch.bfloat16,1039,9216,2048,False,46.416599999999995,844.9765106448987,0.45247260678291823,0,77.7062346938776,504.7334600435887,0.27027741187998583,0.0,1.6741044086356522
torch.bfloat16,1040,1024,2048,False,14.808904255319149,294.55765833810455,0.28544124042679897,0,22.565357142857145,193.30853628349396,0.1873257300223161,0.0,1.5237695344510036
torch.bfloat16,1040,12288,2048,False,59.04750000000004,886.4882326940169,0.46226756424912113,0,93.6499191919192,558.9424355265937,0.29146575069714825,0.0,1.5860098935927707
torch.bfloat16,1040,2048,4096,False,31.882402597402574,547.2706953842147,0.39672192085769775,0,46.56099999999996,374.7407624406696,0.27165327205171735,0.0,1.4603980944583277
torch.bfloat16,1040,2048,512,False,8.69376530612245,250.8738162581911,0.18186090196000182,0,21.755462365591395,100.25243515162181,0.07267397830627631,0.0,2.5024211719024034
torch.bfloat16,1040,9216,2048,False,46.36181818181816,846.7891678889372,0.4530514294678225,0,80.82202061855668,485.7424392454033,0.2598832328027373,0.0005229199887253344,1.7432884168087452
torch.bfloat16,1041,1024,2048,False,14.790096774193554,295.2158143832075,0.28594268614788004,0,21.795903225806423,200.32528217643767,0.19403279396986436,0.0,1.4736822590530256
torch.bfloat16,1041,12288,2048,False,59.571099999999994,879.5413475326123,0.45823884400321635,0,93.66840816326525,559.3694458506694,0.291430083368339,0.0,1.572380032654513
torch.bfloat16,1041,2048,4096,False,34.89930000000001,500.442182393343,0.36254434902705773,0,46.797422222222316,373.2060662030759,0.27036839635991294,0.0,1.340927245595823
torch.bfloat16,1041,2048,512,False,8.637020408163265,252.76485741965058,0.1831150009215196,0,21.76445454545454,100.30737170281822,0.07266747699543462,0.0,2.5199031051129515
torch.bfloat16,1041,9216,2048,False,46.53040816326532,844.5323333102336,0.4514539379558681,0,77.65082352941181,506.06590361679406,0.2705230291864635,0.0,1.6688188776885764
torch.bfloat16,1072,1024,2048,False,14.834358695652176,303.09998431666787,0.2893693005588524,0,21.59967708333335,208.164866106698,0.1987348229067852,0.0,1.4560573548530973
torch.bfloat16,1072,12288,2048,False,59.06630000000004,913.4739547931724,0.46322996361715535,0,94.30023469387756,572.1674694782395,0.29015070947407123,0.0,1.5965150126870566
torch.bfloat16,1072,2048,4096,False,32.06401315789474,560.9146760087242,0.3985627106959146,0,48.56974468085101,370.29586361179275,0.2631168865303593,0.0,1.514774349725847
torch.bfloat16,1072,2048,512,False,8.696583333333328,258.5092165313966,0.18368593029829736,0,22.164697916666682,101.42917139915144,0.072071363481061,0.0,2.5486673406222784
torch.bfloat16,1072,9216,2048,False,46.671000000000014,867.0618797968757,0.45145430781427426,0,78.66460869565215,514.4199616953872,0.26784375272897715,0.0,1.6855136743513557
torch.bfloat16,1073,1024,2048,False,15.37681052631579,292.68021377371394,0.2792943304237344,0,21.726770833333344,207.14022468057348,0.19766655767414423,0.0,1.4129569195217868
torch.bfloat16,1073,12288,2048,False,59.09080808080808,913.9468566777037,0.4630724961923012,0,94.02636734693877,574.3692947822713,0.29101760253094444,0.0,1.5912181674407884
torch.bfloat16,1073,2048,4096,False,32.72695959595961,550.0649308780421,0.39061422624722625,0,48.7621612903225,369.1787298109923,0.2621626208052652,0.0,1.489969184193406
torch.bfloat16,1073,2048,512,False,8.679510416666659,259.2593346830961,0.1841062367909098,0,22.077591836734687,101.92434540146907,0.07237890852485022,0.0,2.5436448344299034
torch.bfloat16,1073,9216,2048,False,46.7876868686869,865.7062667295046,0.45037216862504376,0,78.58433333333335,515.4258108444005,0.26814342129262403,0.0,1.6795943247608305
torch.bfloat16,1077,1024,2048,False,14.483819148936162,311.8835827449415,0.2970796552866407,0,21.744270833333328,207.74508571127456,0.19788421662794325,0.0,1.5012801947979617
torch.bfloat16,1077,12288,2048,False,59.18469999999999,915.8986173115688,0.4624762818769041,0,94.83249999999991,571.6097845780724,0.28863016370969896,0.0,1.6023144495114434
torch.bfloat16,1077,2048,4096,False,32.25105882352942,560.2625864431262,0.3968861943429125,0,48.79994680851063,370.2680599817536,0.2622953678664195,0.0,1.5131269666379956
torch.bfloat16,1077,2048,512,False,8.69525252525252,259.7546991810231,0.18400845695433488,0,22.12561052631578,102.08227706591984,0.07231438870791794,0.0,2.544562157574972
torch.bfloat16,1077,9216,2048,False,47.19818181818178,861.3761612388774,0.4466287299202592,0,80.66234343434348,504.01943386497516,0.26133711348416855,1.2895904546894599e-05,1.7090137866978294
torch.bfloat16,1091,1024,2048,False,15.107212765957444,302.90072264762927,0.2867186731996412,0,22.132085106382963,206.75800052297245,0.19571224216695135,0.0,1.4650012182429408
torch.bfloat16,1091,12288,2048,False,61.31668686868688,895.544602492903,0.446863543992177,0,96.4047551020408,569.59667507975,0.2842203371711067,0.0,1.5722433814549859
torch.bfloat16,1091,2048,4096,False,32.181610389610384,568.7702521533635,0.39952456835879496,0,49.95742268041237,366.3908519279303,0.257366039121974,0.0,1.5523593156338997
torch.bfloat16,1091,2048,512,False,8.756666666666666,261.28582017510473,0.18353650551960413,0,22.4455,101.93548069768997,0.07160312757568332,0.0,2.563247049866768
torch.bfloat16,1091,9216,2048,False,47.01259000000002,876.0179129888395,0.44900176739890296,0,81.75310416666666,503.7591097708064,0.25820103365086294,0.00017822587687987834,1.7389619284252713
torch.bfloat16,112,1024,2048,False,7.943879999999992,59.13508864685777,0.292870486462535,0,10.835500000000025,43.353979788657554,0.21471348807161594,0.0,1.3640060021047693
torch.bfloat16,112,12288,2048,False,15.929921348314613,353.87146318813495,1.59418238450291,0,23.132311111111086,243.6913695706057,1.0978237270811209,0.0,1.4521296499407066
torch.bfloat16,112,2048,4096,False,13.350865979381457,140.7435438946003,0.6626806091577512,0,20.191945652173903,93.05929326318775,0.43816282751570684,4.359654212748865e-06,1.5124071864220296
torch.bfloat16,112,2048,512,False,5.039030612244899,46.61234314180124,0.21947078418468077,0,9.886270000000003,23.7583056096991,0.11186423190950678,0.0,1.9619388649825347
torch.bfloat16,112,9216,2048,False,14.987214285714284,282.0976834921195,1.274669437282255,0,21.7162643678161,194.68626649552877,0.8796975242349738,0.0,1.448986045960249
torch.bfloat16,128,1024,2048,False,7.959880000000001,67.44711126298385,0.2963984381674095,0,10.130440476190442,52.99581131361532,0.23289174893678607,0.0,1.2726875877765043
torch.bfloat16,128,12288,2048,False,15.784730337078647,408.1445046208077,1.6109219135831034,0,24.021749999999955,268.1924066314907,1.0585393653668052,0.0,1.5218346773762985
torch.bfloat16,128,2048,4096,False,13.45951020408163,159.55139640584915,0.6622006198484951,0,20.453337078651693,104.99429211683263,0.4357673256802136,7.62939453125e-06,1.5196197163585616
