dtype,m,n,k,ck_preshuffle,ck us,ck TFLOPS,ck TB/s,ck err,asm us,asm TFLOPS,asm TB/s,asm err,asm/ck
torch.bfloat16,1,1024,2048,False,7.750782608695651,0.5411458702627505,0.2708371665133395,0,7.87039583333333,0.5329216076065638,0.2667210194319961,0.0,1.0154324060777402
torch.bfloat16,1,12288,2048,False,8.810472527472525,5.712706990806397,2.856585946045728,0,20.189709302325582,2.4929357449541123,1.2465693102921993,0.0,2.2915580565481246
torch.bfloat16,1,2048,4096,False,12.97525252525252,1.293016530302441,0.6468239430150639,0,10.199430000000007,1.644917019872678,0.8228601010056439,0.0,0.7860679381884715
torch.bfloat16,1,2048,512,False,3.6212222222222223,0.5791282255837501,0.2897055015188242,0,7.586121212121235,0.27644588602791303,0.13829043468535002,0.0,2.0949062903590288
torch.bfloat16,1,9216,2048,False,8.534872093023251,4.422882450793532,2.211681182126952,0,17.54432000000001,2.151621493452011,1.0759274796629332,0.0,2.055604326436414
torch.bfloat16,1024,1024,2048,False,10.152969387755101,423.0257308940483,0.41311106532621905,0,21.42256470588237,200.48800668673698,0.19578906903001658,0.0,2.1099802321593586
torch.bfloat16,1024,12288,2048,False,50.106970000000004,1028.591582209022,0.5440954821255406,0,86.53044,595.6240087534513,0.3150680384844917,0.0,1.7269142396756378
torch.bfloat16,1024,2048,4096,False,25.709308641975284,668.2353626557905,0.489430197257659,0,33.90603658536576,506.69057531233335,0.3711112612150879,0.0,1.3188233513991807
torch.bfloat16,1024,2048,512,False,7.6519696969696955,280.644557289666,0.2055502128586421,0,20.67048888888889,103.89128479464013,0.07609224960544932,0.0,2.7013291619639763
torch.bfloat16,1024,9216,2048,False,45.705442105263145,845.7352972316785,0.45884076455711725,0,77.3835463917525,499.52098949189275,0.27100748127815366,0.0,1.6930926127687869
torch.bfloat16,1025,1024,2048,False,14.703193548387102,292.3964501896669,0.28540411892084006,0,21.608223404255327,198.95951275445265,0.19420162044296566,0.0,1.4696278963576377
torch.bfloat16,1025,12288,2048,False,58.79623999999998,877.4360265214241,0.46372053723163265,0,93.13353124999996,553.9351778847108,0.2927519619846908,0.0,1.5840048827952262
torch.bfloat16,1025,2048,4096,False,31.96886746987954,537.918536407408,0.393727053729984,0,44.75541666666665,384.236092093136,0.28123987971660797,0.0,1.3999687886608543
torch.bfloat16,1025,2048,512,False,8.672585858585862,247.8592700090613,0.18141947807208592,0,21.57236956521741,99.64509431851725,0.07293477868731028,0.0,2.487420697468306
torch.bfloat16,1025,9216,2048,False,46.32414,835.2546728336457,0.4527567700123521,0,77.5880927835052,498.6906239332874,0.27031941690489475,0.00020219343423377723,1.6748954817834762
torch.bfloat16,1027,1024,2048,False,14.798694736842105,291.076360760124,0.28383908680424164,0,21.61694736842107,199.26727555865023,0.19431272734355584,0.0,1.460733379046233
torch.bfloat16,1027,12288,2048,False,59.29944999999997,871.687722162685,0.45985451804359084,0,93.30491752577312,553.996550950509,0.29225812232744963,0.0,1.5734533376915496
torch.bfloat16,1027,2048,4096,False,31.854341463414652,540.9058872489713,0.3953997923474839,0,45.622056179775186,377.6726056384622,0.2760769911458661,0.0,1.4322084238399035
torch.bfloat16,1027,2048,512,False,8.639945652173905,249.28109396823425,0.18222336845415962,0,21.54037634408601,99.98781217169063,0.07309064497530274,0.0,2.4931147962332627
torch.bfloat16,1027,9216,2048,False,46.34254000000001,836.5521585998522,0.45266539123664773,0,77.60317204301069,499.5665879548493,0.2703196718347204,0.0,1.6745558625619286
torch.bfloat16,1031,1024,2048,False,14.73331182795699,293.5068146589033,0.28565471559584815,0,21.65671739130434,199.67603334641632,0.19433416080360652,0.0,1.4699150906593816
torch.bfloat16,1031,12288,2048,False,58.698639999999976,884.0397168997445,0.46470091981688183,0,93.32054081632639,556.0611697496885,0.29229697729342613,0.0,1.5898245822446044
torch.bfloat16,1031,2048,4096,False,31.853725000000026,543.0231376707115,0.3959217956455639,0,46.0481529411764,375.6352555138578,0.27387817305311896,0.0,1.4456128110974888
torch.bfloat16,1031,2048,512,False,8.68468,248.9629683534684,0.18152056264594665,0,21.61736082474224,100.01978176379822,0.07292509075370894,0.0,2.4891372882757037
torch.bfloat16,1031,9216,2048,False,46.56294000000002,835.835254732626,0.45069868869963947,0,77.76431578947374,500.47308229860505,0.2698648575114277,0.000771230726968497,1.6700903291216944
torch.bfloat16,1039,1024,2048,False,14.750595744680847,295.43768478445884,0.286430736299147,0,21.47063265306124,202.96941997089507,0.1967815326297618,0.0,1.455577322075529
torch.bfloat16,1039,12288,2048,False,58.73024000000001,890.4200335636292,0.4647298563738203,0,92.6968999999999,564.1459668230551,0.2944402239988611,0.0,1.578350437525879
torch.bfloat16,1039,2048,4096,False,31.85696202531645,547.1810968712998,0.3969101633090953,0,46.44756976744183,375.29471426121654,0.2722284946943179,0.0,1.4580037396701653
torch.bfloat16,1039,2048,512,False,8.673473118279576,251.2189636476562,0.18222734750499905,0,21.77282474226805,100.07617081351762,0.07259251009960394,0.0,2.5102775376545803
torch.bfloat16,1039,9216,2048,False,46.62615000000002,841.1789672533544,0.4504390776420526,0,77.87016494845356,503.6709082350402,0.2697084308721127,0.0,1.6700963932997586
torch.bfloat16,1040,1024,2048,False,14.754714285714286,295.6394868468189,0.2864895868632786,0,21.520722222222233,202.6919038755927,0.1964186868986738,0.0,1.4585658390592413
torch.bfloat16,1040,12288,2048,False,58.952249999999964,887.9205445084798,0.4630144566153119,0,92.9773000000001,562.9859537758134,0.2935742810341876,0.0,1.5771628733424112
torch.bfloat16,1040,2048,4096,False,31.799730769230774,548.693470602678,0.397753304636106,0,46.35687058823529,376.39090858795225,0.27284947925734215,0.0,1.4577755681217879
